Date,restaurant_id,Churn Reasons,Churn Remarks,New Remarks
29-Apr-25,146631,Permanently Closed (Outlet/brand),"The Franchise not performing well, so the outlet was closed. They are streamlining the setup and new opening.","The Franchise not performing well, so the outlet was closed. They are streamlining the setup and new opening."
29-Apr-25,153852,Permanently Closed (Outlet/brand),"This is Franchise based brand, so no recored with them for the closed outlets.","This is Franchise based brand, so no recored with them for the closed outlets."
29-Apr-25,327248,Permanently Closed (Outlet/brand),"Brand is facing financial issue, also these outlets has more than 150+ out of sync days. Hence consider as permanently closed.",Brand is facing financial issue
29-Apr-25,72287,Permanently Closed (Outlet/brand),The Brand is not operational now.,The Brand is not operational now.
29-Apr-25,336454,Permanently Closed (Outlet/brand),"Franchise does not have control over the outlets, so not have data if the outlets are closed.","Franchise does not have control over the outlets, so not have data if the outlets are closed."
29-Apr-25,121040,Permanently Closed (Outlet/brand),Brand outlet died due to non-performance,Brand outlet died due to non-performance
29-Apr-25,125185,Switched to Another POS,The brand is switched to Rista PoS. Not using Petpooja POSS Due to Pricing issue.,The brand is switched to Rista PoS. Not using Petpooja POSS Due to Pricing issue.
29-Apr-25,66002,Permanently Closed (Outlet/brand),The franchise is not performing well and due to low sales the outlets are closing.,The franchise is not performing well and due to low sales the outlets are closing.
29-Apr-25,321602,Permanently Closed (Outlet/brand),The franchise is not performing well and due to low sales the outlets are closing.,The franchise is not performing well and due to low sales the outlets are closing.
29-Apr-25,336442,Permanently Closed (Outlet/brand),The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.,The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.
29-Apr-25,110132,Permanently Closed (Outlet/brand),The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.,The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.
29-Apr-25,157689,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,338184,Permanently Closed (Outlet/brand),The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.,The franchise is not performing well and it is acquired by another brand and all the active outlet is on Petpooja.
29-Apr-25,158429,Permanently Closed (Outlet/brand),The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.,The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.
29-Apr-25,316095,Permanently Closed (Outlet/brand),The owner has arrogantly denied to share the reason.,The owner has arrogantly denied to share the reason.
29-Apr-25,129240,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,101501,Switched to Another POS,The brand is switched to Rista PoS. Not using Petpooja POSS Due to Pricing issue.,The brand is switched to Rista PoS. Not using Petpooja POSS Due to Pricing issue.
29-Apr-25,159043,Switched to Another POS,The brand is switched to Rista PoS. Not using Petpooja POSS Due to Pricing issue.,The brand is switched to Rista PoS. Not using Petpooja POSS Due to Pricing issue.
29-Apr-25,101901,Permanently Closed (Outlet/brand),"The franchise is not performing well, so outlets are slowly decreasing in the market.","The franchise is not performing well, so outlets are slowly decreasing in the market."
29-Apr-25,139729,Permanently Closed (Outlet/brand),The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.,The IDs that I have marked is permanatley Closed and they will share a detailed email to remove from the master log in.
29-Apr-25,332816,Permanently Closed (Outlet/brand),"The franchise is not performing well, so outlets are slowly decreasing in the market.","The franchise is not performing well, so outlets are slowly decreasing in the market."
29-Apr-25,63873,Permanently Closed (Outlet/brand),Due to dispute the outlet is closed.,Due to dispute the outlet is closed.
29-Apr-25,53163,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,106534,Permanently Closed (Outlet/brand),The brand owner has no hold on franchises and franchise owner not want to use any POS,The brand owner has no hold on franchises and franchise owner not want to use any POS
29-Apr-25,108654,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,140084,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,75290,Permanently Closed (Outlet/brand),Brand is not in contact from starting considering outlet permanent clsoed,Brand is not in contact from starting considering outlet permanent clsoed
29-Apr-25,118353,Permanently Closed (Outlet/brand),The Id has been deleted from the dashboard on 18 Sep 2025.,The Id has been deleted from the dashboard on 18 Sep 2025.
29-Apr-25,137748,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,337925,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,137103,Permanently Closed (Outlet/brand),Franchise outlet closed permanently due to non performance,Franchise outlet closed permanently due to non performance
29-Apr-25,137417,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,104688,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,92922,Permanently Closed (Outlet/brand),Brand is not in contact from starting considering outlet permanent clsoed,Brand is not in contact from starting considering outlet permanent clsoed
29-Apr-25,140649,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,94037,Permanently Closed (Outlet/brand),Brand is not in contact from starting considering outlet permanent clsoed,Brand is not in contact from starting considering outlet permanent clsoed
29-Apr-25,134418,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,330024,Permanently Closed (Outlet/brand),Franchise outlet closed permanently due to non performance,Franchise outlet closed permanently due to non performance
29-Apr-25,69411,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,137682,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,323456,Permanently Closed (Outlet/brand),Franchise outlet permanently closed due to non performance,Franchise outlet permanently closed due to non performance
29-Apr-25,324209,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,348934,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,132579,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,347842,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,132576,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,137629,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,134469,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,134488,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,316564,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,20821,Permanently Closed (Outlet/brand),Franchise outlet closed permanently due to non performance,Franchise outlet closed permanently due to non performance
29-Apr-25,137690,Switched to Another POS,Brand is shifted to Vasy ERP due to pricing offered around 5000/-,Brand is shifted to Vasy ERP due to pricing offered around 5000/-
29-Apr-25,12177,Permanently Closed (Outlet/brand),Outlet has been closed permanently,
29-Apr-25,64462,Not Connected Brand,0,
29-Apr-25,111812,Permanently Closed (Outlet/brand),Brand was located in a food court and the same is closing down,Brand was located in a food court and the same is closing down
29-Apr-25,353274,Permanently Closed (Outlet/brand),outlet will shift as per poc informed,outlet will shift as per poc informed 
29-Apr-25,348156,Not Connected Brand,0,
29-Apr-25,140357,Permanently Closed (Outlet/brand),Brand was located in a food court and the same is closing down,Brand was located in a food court and the same is closing down
29-Apr-25,108397,Switched to Another POS,Not Connected brand.,Not Connected brand.
29-Apr-25,136447,Permanently Closed (Outlet/brand),0,
29-Apr-25,104785,Permanently Closed (Outlet/brand),Outlet has been closed permanently,Outlet has been closed permanently
29-Apr-25,110373,Not Connected Brand,0,
29-Apr-25,18155,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,128069,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,108921,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,331886,Permanently Closed (Outlet/brand),unable to connect. The POC was connected until the 1st week of February,unable to connect. The POC was connected until the 1st week of February
29-Apr-25,129893,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sale and looking for new franchise if they get they will plan.","As confirmed by POC, The outlets are permanently closed due to low sale and looking for new franchise if they get they will plan."
29-Apr-25,336570,Permanently Closed (Outlet/brand),unable to connect. The POC was connected until the 1st week of February,unable to connect. The POC was connected until the 1st week of February
29-Apr-25,111714,Not Connected Brand,unable to connect with poc,unable to connect with poc 
29-Apr-25,133208,Event Account / Demo Account,Central Store used only for Inventory Management,Central Store used only for Inventory Management
29-Apr-25,114468,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,108056,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,91134,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,112001,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,118075,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,117007,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,362788,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,117728,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,38953,Permanently Closed (Outlet/brand),As confirmed by POC the outlet is closed due to low sales,As confirmed by POC the outlet is closed due to low sales
29-Apr-25,30997,Permanently Closed (Outlet/brand),due to low sale,due to low sale 
29-Apr-25,125290,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,318504,Permanently Closed (Outlet/brand),Permanently Closed,Permanently Closed 
29-Apr-25,153644,Permanently Closed (Outlet/brand),Permanantly closed due to bad location,Permanantly closed due to bad location
29-Apr-25,68570,Permanently Closed (Outlet/brand),due to low business,due to low business
29-Apr-25,131672,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,125294,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,127548,Permanently Closed (Outlet/brand),"As confirmed by POC, The outlets are permanently closed due to low sales.","As confirmed by POC, The outlets are permanently closed due to low sales. "
29-Apr-25,50049,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,345791,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,323413,Permanently Closed (Outlet/brand),Permanently Closed,Permanently Closed 
29-Apr-25,329802,Permanently Closed (Outlet/brand),Low Buisness,Low Buisness 
29-Apr-25,101550,Permanently Closed (Outlet/brand),Permenantly closed.,Permenantly closed.
29-Apr-25,84684,Switched to Another POS,Switched back on Petpooja with New RIDs.,Switched back on Petpooja with New RIDs.
29-Apr-25,82190,Switched to Another POS,Switched back on Petpooja with New RIDs.,Switched back on Petpooja with New RIDs.
29-Apr-25,82200,Switched to Another POS,Switched back on Petpooja with New RIDs.,Switched back on Petpooja with New RIDs.
29-Apr-25,127988,Permanently Closed (Outlet/brand),Permenantly closed. Due to low sales.,Permenantly closed. Due to low sales.
29-Apr-25,329887,Permanently Closed (Outlet/brand),Last sync changed to 3 days ago(03/03/2025). No response from POC.,Last sync changed to 3 days ago(03/03/2025). No response from POC.
29-Apr-25,149705,Permanently Closed (Outlet/brand),No response from POC.,No response from POC.
29-Apr-25,325853,Permanently Closed (Outlet/brand),No response from POC.,No response from POC.
29-Apr-25,104303,Permanently Closed (Outlet/brand),Permenantly Closed.,Permenantly Closed.
29-Apr-25,70895,Permanently Closed (Outlet/brand),Last sync changed to 3 days ago(03/03/2025).,Last sync changed to 3 days ago(03/03/2025).
29-Apr-25,146308,Permanently Closed (Outlet/brand),Temporary Closed,Temporary Closed
29-Apr-25,156361,Permanently Closed (Outlet/brand),Temporary Closed,Temporary Closed
29-Apr-25,149070,Permanently Closed (Outlet/brand),Temporary Closed,Temporary Closed
29-Apr-25,102891,Permanently Closed (Outlet/brand),Temporary Closed,Temporary Closed
29-Apr-25,110292,Permanently Closed (Outlet/brand),New User Purchase,New User Purchase
29-Apr-25,367431,Permanently Closed (Outlet/brand),Oulet deleted by Brand,Oulet deleted by Brand
29-Apr-25,121656,Permanently Closed (Outlet/brand),Permanent Closed,Permanent Closed
29-Apr-25,59018,Outlet once out of Sync- now Active,Currently Running,Currently Running
29-Apr-25,137529,Permanently Closed (Outlet/brand),Permanently closed,Permanently closed
29-Apr-25,112363,Switched to Another POS,"Brand is previously Dynamics 365, now developing of its proprietary application.","Brand is previously Dynamics 365, now developing of its proprietary application."
29-Apr-25,145592,Permanently Closed (Outlet/brand),Parmanently Closed,Parmanently Closed
29-Apr-25,357737,Permanently Closed (Outlet/brand),Permanently closed,Permanently closed
29-Apr-25,157353,Permanently Closed (Outlet/brand),Parmanently Closed,Parmanently Closed
29-Apr-25,23652,Permanently Closed (Outlet/brand),Currently Running,Currently Running
29-Apr-25,359581,Permanently Closed (Outlet/brand),Outlets is closed permanently,Outlets is closed permanently
29-Apr-25,337323,Switched to Another POS,"Brand is previously Dynamics 365, now developing of its proprietary application.","Brand is previously Dynamics 365, now developing of its proprietary application."
29-Apr-25,359579,Permanently Closed (Outlet/brand),Outlets is closed permanently,Outlets is closed permanently
29-Apr-25,348427,Permanently Closed (Outlet/brand),Permanently closed,Permanently closed
29-Apr-25,148152,Permanently Closed (Outlet/brand),Call Unanswered,Call Unanswered
29-Apr-25,90383,Permanently Closed (Outlet/brand),Permanently closed,Permanently closed
29-Apr-25,337322,Switched to Another POS,"Brand is previously Dynamics 365, now developing of its proprietary application.","Brand is previously Dynamics 365, now developing of its proprietary application."
29-Apr-25,107943,Event Account / Demo Account,Temp. Id craeted for event,Temp. Id craeted for event
29-Apr-25,103675,Permanently Closed (Outlet/brand),closed,Running
29-Apr-25,334252,Permanently Closed (Outlet/brand),Temp. Close,Temp. Close
29-Apr-25,158979,Permanently Closed (Outlet/brand),closed,Call Unanswered
29-Apr-25,345011,Permanently Closed (Outlet/brand),Parmanently Closed,Parmanently Closed
29-Apr-25,109382,Permanently Closed (Outlet/brand),The store has been permanently closed due to low sales,The store has been permanently closed due to low sales
29-Apr-25,353834,Permanently Closed (Outlet/brand),Outlets is closed permanently,Outlets is closed permanently
29-Apr-25,158970,Permanently Closed (Outlet/brand),The outlet is closed permanently,The outlet is closed permanently
29-Apr-25,340805,Permanently Closed (Outlet/brand),Closed due to franchise issue,Closed due to franchise issue
29-Apr-25,353476,Permanently Closed (Outlet/brand),Outlets is closed permanently,Outlets is closed permanently
29-Apr-25,345722,Permanently Closed (Outlet/brand),Due to low sales they are not using pos,Due to low sales they are not using pos
29-Apr-25,366118,Permanently Closed (Outlet/brand),0,
29-Apr-25,88023,Temporarily Closed (Renovation / Relocation/Internet issue),under renovetion,under renovetion
29-Apr-25,32057,Permanently Closed (Outlet/brand),franchise has been terminated,franchise has been terminated
29-Apr-25,321425,Switched to Another POS,Brand didn't disclose the pos name.,Brand didn't disclose the pos name.     
29-Apr-25,78680,Switched to Another POS,They are shifted on Rishta,They are shifted on Rishta
29-Apr-25,351474,Permanently Closed (Outlet/brand),Outlet is temporally closed,Outlet is temporally closed
29-Apr-25,324890,Permanently Closed (Outlet/brand),The outlet is closed,The outlet is closed
29-Apr-25,126230,Permanently Closed (Outlet/brand),The outlet is closed,The outlet is closed
29-Apr-25,106475,Permanently Closed (Outlet/brand),Political issue not sure how much time it will take to resolve hence marking it as permanently closed,
29-Apr-25,94650,Switched to Another POS,They are shifted on Rishta,They are shifted on Rishta
29-Apr-25,345893,Permanently Closed (Outlet/brand),Outlet is temporally closed,Outlet is temporally closed
29-Apr-25,316355,Permanently Closed (Outlet/brand),Outlet is closed now but they will reopen it soon,Outlet is closed now but they will reopen it soon
29-Apr-25,340297,Switched to Another POS,Brand didn't disclose the pos name.,Brand didn't disclose the pos name.
29-Apr-25,158220,Permanently Closed (Outlet/brand),Closed due to franchise issue,Closed due to franchise issue
29-Apr-25,32053,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,141446,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,51456,Permanently Closed (Outlet/brand),Permanently closed. Their outlets are not performing well,Permanently closed. Their outlets are not performing well
29-Apr-25,133719,Permanently Closed (Outlet/brand),The franchises has been closed,The franchises has been closed
29-Apr-25,69120,Permanently Closed (Outlet/brand),"I spoke with Arun, who is handling the brand’s operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed.","I spoke with Arun, who is handling the brand?? operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed."
29-Apr-25,77730,Not Connected Brand,"Since this brand was assigned to me, it has remained disconnected. Their master email ID is also not working.

From a few franchise partners, we came to know that the owner has moved abroad after certain internal issues. There is one POC, Krishna, but he has not been responding to calls.","Since this brand was assigned to me, it has remained disconnected. Their master email ID is also not working.

From a few franchise partners, we came to know that the owner has moved abroad after certain internal issues. There is one POC, Krishna, but he has not been responding to calls."
29-Apr-25,352093,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,147953,Permanently Closed (Outlet/brand),The franchises has been closed,The franchises has been closed
29-Apr-25,344707,Permanently Closed (Outlet/brand),The Brand has no control over the franchise and the franchise decided to continue Petpooja or not.,The Brand has no control over the franchise and the franchise decided to continue Petpooja or not.
29-Apr-25,315192,Permanently Closed (Outlet/brand),Outlet is permanently closed due to non performance,Outlet is permanently closed due to non performance
29-Apr-25,12519,Permanently Closed (Outlet/brand),"I spoke with Arun, who is handling the brand’s operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed.","I spoke with Arun, who is handling the brand?? operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed."
29-Apr-25,123090,Permanently Closed (Outlet/brand),"I spoke with Arun, who is handling the brand’s operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed.","I spoke with Arun, who is handling the brand?? operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed."
29-Apr-25,333355,Permanently Closed (Outlet/brand),"I spoke with Arun, who is handling the brand’s operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed.","I spoke with Arun, who is handling the brand?? operations. He responded in a frustrated tone and mentioned that they do not have the bandwidth to check each ID individually, as their primary focus is on franchise expansion. He further shared that several outlet owners have shifted abroad, some outlets were not generating sufficient sales, and in a few cases, the agreements had expired and were not renewed."
